ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 3;РЕК М-4 км 933-км 1024;№13/06-Щ;13.06.2026;Штабель ЦБЗ;ГЛК;13.06.2026;Щебень фр. 5-20 мм по ГОСТ 8267;-;ООО Трансстроймеханизация;№13/06-Щ;14.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№13/06-Щ;13.06.2026;Штабель АБЗ;ГЛК;13.06.2026;Щебень фр. 16-22,4 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№13/06-Щ;14.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№13/06-Щ;13.06.2026;Штабель АБЗ;ГЛК;13.06.2026;Щебень фр. 22,4-31,5 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№13/06-Щ;14.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№23/06-НСП;23.06.2026;ППЧ, ПК 9976+00 правая полоса;ГЛК;23.06.2026;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№23/06-НСП;24.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№23/06-ВСО;23.06.2026;ППЧ, ПК 9976+00 правая полоса ;ГЛК;23.06.2026;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№23/06-ВСО;24.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№10/06-МПО;10.06.2026;ЛПЧ, ПК 9896+00;ГЛК;10.06.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№10/06-МПО;24.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№23/06-ДСО;23.06.2026;ЛПЧ, ПК 9942+50;ГЛК;23.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№23/06-ДСО;23.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№23/06-ДСО;23.06.2026;ПК 9888+43;ГЛК;23.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№23/06-ДСО;23.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№26/05-В35-МО1;26.05.2026;КМ 1000+001;ГЛК;26.05.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№26/05-В35-МО1;23.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№22/06-НСП;22.06.2026;ППЧ, ПК 10060+00 левая полоса, ПК 10069+00 правая полоса;ГЛК;22.06.2026;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№22/06-НСП;23.06.2026;Не соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№22/06-ВСО;22.06.2026;ППЧ, ПК 10060+00 левая полоса, ПК 10069+00 правая полоса;ГЛК;22.06.2026;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№22/06-ВСО;23.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№22/06-ОМС;22.06.2026;ППЧ, ПК 10060+00 левая полоса, ПК 10069+00 правая полоса;ГЛК;22.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№22/06-ОМС;23.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№08/06-МПО;08.06.2026;ППЧ, ПК 9843+00;ГЛК;08.06.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№08/06-МПО;22.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№07/06-МПО;07.06.2026;ЛПЧ, ПК 9845+00;ГЛК;07.06.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№07/06-МПО;21.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№22/06-ДСО;22.06.2026;ППЧ, ПК 9890+50;ГЛК;22.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№22/06-ДСО;22.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№22/06-ДСО;22.06.2026;ЛПЧ, ПК 9940+00;ГЛК;22.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№22/06-ДСО;22.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№21/06-ЛОС;21.06.2026;ПК 9793, ЛОС №4,№6;ГЛК;21.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№21/06-ЛОС;21.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№31/05-П;31.05.2026;Штабель АБЗ;ГЛК;31.05.2026;Песок по ГОСТ 32730;-;ООО Трансстроймеханизация;№31/05-П;01.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№01/06-SP 32Э;01.06.2026;АБЗ;ГЛК;01.06.2026;АБС SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№01/06-SP 32Э;02.06.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;15.06/26-Б-01;15.06.2026;ПК 426;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;15.06/26-Б-01;13.07.2026;Соответствует;В30 П4 F2 300 W8 Укрепление откосов.
ПЛП 6;РЕК М3 км 86-124 II ПК;15.06/26-Б-02;15.06.2026;АГПС;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;15.06/26-Б-02;13.07.2026;Соответствует;В35 П4 F2 300 W12  АГПС ПС. Тротуарный блок.
ПЛП 6;РЕК М3 км 86-124 II ПК;16.06/26-Б-01;16.06.2026;ПК 286+78,507 ;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;16.06/26-Б-01;14.07.2026;Соответствует;В15 П4 F1 300 W6  Бетонирование стоек перильного ограждения.
ПЛП 6;РЕК М3 км 86-124 II ПК;16.06/26-Б-02;16.06.2026;ПК 415 АГПС ПС2п. Фундамент. ;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;16.06/26-Б-02;14.07.2026;Соответствует;АГПС ПС2п. Фундамент. В25 П4 F1 300 W8
ПЛП 6;КР М-4 путепровод км 542+064 альт. напр.;542/бет/17.06;17.06.2026;км 542+064;ГСК;23.06.2026;Бетонные образцы-кубы;-; ООО ДРСУ МАГИСТРАЛЬ; 542/бет/17.06-1;15.07.2026;Соответствует;В30 П4 F2 300 W8  Устройство монолитных железобетонных ригелей ОК-1, ОП-2
ПЛП 6;РЕК М3 км 86-124 II ПК;16.06/26-Б-03;16.06.2026;АГПС;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;16.06/26-Б-03;14.07.2026;Соответствует;АГПС ПС. Тротуарный блок. В35 П4 F2 300 W12
ПЛП 6;РЕК М3 км 86-124 II ПК;17.06/26-Б-01;17.06.2026;ПК 450 л;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;17.06/26-Б-01;15.07.2026;Соответствует;В35 П4 F1 300 W8  Опора №5. Стойка См5-1, См5-2
ПЛП 6;РЕК М3 км 86-124 II ПК;17.06/26-Б-02;17.06.2026;АГПС;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;17.06/26-Б-02;15.07.2026;Соответствует;В35 П4 F2 300 W12  АГПС ПС-2. Тротуарный блок.
ПЛП 6;РЕК М3 км 86-124 II ПК;17.06/26-03;17.06.2026;ПК 221+00 ШЗЭ31;ГСК;03.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;17.06/26-03;15.07.2026;Соответствует;ВЗО П4 F2 300 W12  Устройство бетонирования насадок.
ПЛП 3;РЕК М-4 км 933-км 1024;№26/06-ДСО;26.06.2026;ППЧ, ПК 9749+50;ГЛК;26.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№26/06-ДСО;26.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№26/06-ДСО;26.06.2026;ЛПЧ, ПК 9953+00, ПК 9954+00;ГЛК;26.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№26/06-ДСО;26.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№26/06-ДСО;26.06.2026;ППЧ, ПК 10045+00, ПК 10046+00;ГЛК;26.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№26/06-ДСО;26.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№25/06-НСП;25.06.2026;ППЧ, ПК 10068+90 правая полоса, ПК 10069+10 правая полоса (границы фрезерования);ГЛК;25.06.2026;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№25/06-НСП;26.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№12/06-МПО;12.06.2026;ППЧ, ПК 9797+00;ГЛК;12.06.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№12/06-МПО;26.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-Щ;24.06.2026;Штабель АБЗ;ГЛК;24.06.2026;Щебень фр. 8-11,2 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№24/06-Щ;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-Щ;24.06.2026;Штабель АБЗ;ГЛК;24.06.2026;Щебень фр. 4-8 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№24/06-Щ;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-П;24.06.2026;Штабель КМ 975;ГЛК;24.06.2026;Грунт по ГОСТ 33063;-;ООО Трансстроймеханизация;№24/06-П;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№28/05-В25;28.05.2026;ПК 9783+29;ГЛК;28.05.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№28/05-В25;25.06.2026;Соответствует;
ПЛП 6;КР М-4 путепровод км 542+064 альт. напр.;542/бет/25.06;25.06.2026;км 542+064;ГСК;14.07.2026;Бетонные образцы-кубы;-;ООО ДРСУ МАГИСТРАЛЬ;542/бет/25.06;14.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;14.07/26-01;14.07.2026;ПК 437+87 лево примыкание ;ГСК;14.07.2026;Керны АБ ЩМА-15 по ГОСТ 31015;-;ООО Строительное управление №910;14.07/26-01;15.07.2026;Соответствует;(Повторно)
ПЛП 6;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);697;08.07.2026;Временная база на км 73 лево, кузов самосвала;ГСК;14.07.2026;АБС ЩМА-15 по ГОСТ 31015;-;ООО Трансстроймеханизация ;697;15.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;18.06/26-Б-01;18.06.2026;ПК 450 п;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;18.06/26-Б-01;16.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;18.06/26-Б-02 ;18.06.2026;ПК366;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО А-Мост;18.06/26-Б-02 ;16.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;18.06/26-Б-03;18.06.2026;ПК 415 АГПС;ГСК;12.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;18.06/26-Б-03;16.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;10.06/26-А-06;10.06.2026;ПК 286+78,507;ГСК;16.07.2026;Бетонные образцы-кубы;-;ООО ?А-МОСТ?;10.06/26-А-06;16.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;13.07/26-02;13.07.2026;ОХ. ПК 292+70 лево ;ГСК;15.07.2026;Грунт в кольцах ;-;к-p Спас- Загорье;13.07/26-02;15.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;14.07/26-03;14.07.2026;Производственная база АО ДСК Автобан на км 121 М-3 ;ГЛК;14.07.2026;АБС к/з пл. тип Б М I по ГОСТ 9128;-;ООО Строительное управление № 910;14.07/26-03;15.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;14.07/26-02;14.07.2026;ПК 392+48 право 8м от оси ;ГСК;14.07.2026;Грунт в кольцах ;-;;14.07/26-02;16.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№27/05-В35;27.05.2026;ППЧ, ПК 9793+00-9796+00;ГЛК;27.05.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№27/05-В35;24.06.2026;Соответствует;
ПЛП 5;СТР А-113 ЦКАД ТР №31(2-я очередь);13/07/26/1/548 ;13.07.2026;Съезд С-9 ПК 2+35 право, штабель;ГСК;15.07.2026;ЩПС С-5 по ГОСТ 25607;-;ООО ТСК;13/07/26/1/548 ;15.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№21/06-ЛА 16Нэ;21.06.2026;Путепровод КМ 1000+169, право;ГЛК;21.06.2026;АБС ЛА16Нэ по ГОСТ Р 54401;-;ООО Трансстроймеханизация;№21/06-ЛА 16Нэ;22.06.2026;Не соответствует;
ПЛП 5;СТР А-113 ЦКАД ТР №31(2-я очередь);13/07/26/2/548 ;13.07.2026;Съезд С-9 ПК 2+55 право, штабель;ГСК;15.07.2026;Щебень фр. 20-40 мм по ГОСТ 8267;-;ООО Карьер Сервис;13/07/26/2/548 ;15.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№21/06-ЛА 16Нэ;21.06.2026;Путепровод КМ 1000+169, право;ГЛК;21.06.2026;АБС ЛА16Нэ по ГОСТ Р 54401;-;ООО Трансстроймеханизация;№21/06-ЛА 16Нэ;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№16/06-ЛА 16Нэ;16.06.2026;КМ 979+483 прямое направление ;ГЛК;16.06.2026;АБС ЛА16Нэ по ГОСТ Р 54401;-;ООО Трансстроймеханизация;№16/06-ЛА 16Нэ;17.06.2026;Не соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№16/06-ЛА 16Нэ;16.06.2026;КМ 979+483 прямое направление ;ГЛК;16.06.2026;АБС ЛА16Нэ по ГОСТ Р 54401;-;ООО Трансстроймеханизация;№16/06-ЛА 16Нэ;25.06.2026;Не соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-НСП;24.06.2026;ППЧ, ПК 9755+00 левая полоса, ПК 9765+00 правая полоса;ГЛК;24.06.2026;Керны АБ SP-22Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№24/06-НСП;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-ВСО;24.06.2026;ППЧ, ПК 9755+00 левая полоса, ПК 9765+00 правая полоса;ГЛК;24.06.2026;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№24/06-ВСО;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-ОМС;24.06.2026;ППЧ, ПК 9755+00 левая полоса, ПК 9765+00 правая полоса;ГЛК;24.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№24/06-ОМС;25.06.2026;Не соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-К;24.06.2026;ПК 1002, ОП№4;ГЛК;24.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№24/06-К;24.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-ДСО;24.06.2026;ППЧ, ПК 10041+00;ГЛК;24.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№24/06-ДСО;24.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-ДСО;24.06.2026;ЛПЧ, ПК 9945+50;ГЛК;24.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№24/06-ДСО;24.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№23/06-ОМС;23.06.2026;ППЧ, ПК 9976+00 правая полоса;ГЛК;23.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№23/06-ОМС;24.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-Щ-1;24.06.2026;Штабель АБЗ;ГЛК;24.06.2026;Щебень фр. 8-16 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№24/06-Щ-1;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№21/06-Щ-1;21.06.2026;Штабель ЦБЗ;ГЛК;21.06.2026;Щебень фр. 16-31,5 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№21/06-Щ-1;22.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№21/06-Щ;21.06.2026;Штабель ЦБЗ;ГЛК;21.06.2026;Щебень фр. 8-16 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№21/06-Щ;22.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-Щ;24.06.2026;Штабель ЦБЗ;ГЛК;24.06.2026;Щебень фр. 5-20 мм по ГОСТ 8267;-;ООО Трансстроймеханизация;№24/06-Щ;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№24/06-П;24.06.2026;Штабель ЦБЗ;ГЛК;24.06.2026;Песок по ГОСТ 8736;-;ООО Трансстроймеханизация;№24/06-П;25.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№23/06-Щ;23.06.2026;Штабель АБЗ;ГЛК;23.06.2026;Щебень фр. 11,2-16 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№23/06-Щ;24.06.2026;Соответствует;
